ID,TARGET
2,0
5,0
6,0
7,0
9,0
11,0
12,0
15,0
16,0
17,0
19,0
21,0
22,0
24,0
27,0
28,0
30,0
33,0
35,0
37,0
38,0
40,0
41,0
44,0
46,0
47,0
48,0
50,0
52,0
53,0
55,0
57,0
58,0
59,0
62,0
63,0
64,0
65,0
67,0
69,0
70,0
71,0
72,0
73,0
76,0
78,0
79,0
81,0
85,0
86,0
89,0
94,0
96,0
97,0
98,0
99,0
100,0
103,0
104,0
108,0
110,0
112,0
114,0
116,0
117,0
119,0
120,0
121,0
123,0
124,0
126,0
128,0
129,0
133,0
138,0
147,0
149,0
158,0
160,0
164,0
167,0
168,0
174,0
181,0
185,0
187,0
189,0
190,0
194,0
197,0
198,0
201,0
205,0
208,0
211,0
216,0
219,0
223,0
224,0
226,0
229,0
230,0
237,0
238,0
240,0
243,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
255,0
256,0
257,0
260,0
261,0
263,0
264,0
267,0
268,0
272,0
274,0
275,0
277,0
278,0
280,0
281,0
282,0
283,0
284,0
286,0
290,0
291,0
293,0
295,0
297,0
298,0
300,0
304,0
305,0
308,0
309,0
310,0
312,0
313,0
315,0
317,0
318,0
321,0
323,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
334,0
335,0
336,0
337,0
338,0
339,0
341,0
343,0
346,0
348,0
350,0
351,0
352,0
357,0
358,0
360,0
361,0
364,0
365,0
366,0
367,0
368,0
370,0
372,0
376,0
377,0
379,0
380,0
381,0
385,0
386,0
389,0
391,0
392,0
393,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
403,0
405,0
406,0
409,0
411,0
413,0
418,0
419,0
422,0
424,0
425,0
427,0
430,0
431,0
434,0
435,0
437,0
438,0
439,0
442,0
446,0
450,0
451,0
452,0
454,0
455,0
463,0
464,0
465,0
467,0
468,0
470,0
472,0
473,0
475,0
476,0
479,0
481,0
483,0
484,0
486,0
487,0
491,0
494,0
495,0
497,0
498,0
499,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
516,0
518,0
519,0
520,0
521,0
522,0
524,0
525,0
526,0
528,0
529,0
531,0
532,0
534,0
536,0
539,0
540,0
541,0
542,0
545,0
546,0
552,0
556,0
557,0
559,0
562,0
563,0
565,0
569,0
570,0
574,0
575,0
585,0
589,0
590,0
592,0
593,0
594,0
595,0
597,0
601,0
603,0
604,0
605,0
607,0
608,0
610,0
612,0
613,0
615,0
616,0
617,0
619,0
620,0
621,0
624,0
625,0
628,0
629,0
630,0
632,0
634,0
637,0
638,0
642,0
643,0
644,0
646,0
655,0
660,0
664,0
665,0
666,0
670,0
671,0
672,0
675,0
676,0
677,0
678,0
680,1
683,0
684,0
685,0
691,0
693,0
696,0
698,0
699,0
700,0
703,0
704,0
705,0
707,0
709,0
711,0
713,0
716,0
719,0
721,0
722,0
723,0
724,0
727,0
728,0
729,0
733,0
736,0
739,0
742,0
743,0
744,0
745,0
747,0
749,0
750,0
751,0
752,0
755,0
756,0
762,0
763,0
764,0
765,0
766,0
769,0
770,0
773,0
774,0
776,0
777,0
778,0
779,0
780,0
781,0
786,0
788,0
794,0
796,0
801,0
802,0
803,0
804,0
805,0
809,0
810,0
817,0
819,0
821,0
824,0
825,0
826,0
830,0
831,0
832,0
833,0
837,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
848,0
853,0
854,0
855,0
856,0
861,0
865,0
866,0
867,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
879,0
880,0
883,0
884,0
886,0
890,0
892,0
893,0
894,0
895,0
896,0
897,0
899,0
900,0
901,0
902,0
905,0
912,0
914,0
915,0
917,0
918,0
919,0
921,0
922,0
923,0
926,0
929,0
930,0
931,0
937,0
938,0
939,0
941,0
946,0
947,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
960,0
963,0
966,0
969,0
971,0
972,0
975,0
980,0
982,0
983,0
985,0
987,0
988,0
991,0
992,0
995,0
996,0
998,0
1001,0
1002,0
1004,0
1005,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1022,0
1023,0
1024,0
1025,0
1026,0
1028,0
1029,0
1032,0
1034,0
1036,0
1037,0
1039,0
1042,0
1045,0
1046,0
1050,0
1052,0
1055,0
1057,0
1058,0
1060,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1070,0
1072,0
1077,0
1078,0
1079,0
1081,0
1082,0
1093,0
1094,0
1102,0
1103,0
1106,0
1107,0
1112,0
1113,0
1114,0
1116,0
1118,0
1120,0
1121,0
1128,0
1130,0
1132,0
1135,0
1138,0
1139,0
1141,0
1143,0
1146,0
1148,0
1149,0
1151,0
1152,0
1153,0
1155,0
1157,0
1160,0
1161,0
1162,0
1164,0
1168,0
1169,0
1174,0
1176,0
1177,0
1178,0
1180,0
1181,0
1182,0
1185,0
1190,0
1194,0
1196,0
1199,0
1200,0
1201,0
1202,0
1206,0
1207,0
1208,0
1212,0
1216,0
1219,0
1221,0
1222,0
1225,0
1227,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1244,0
1245,0
1247,0
1250,0
1251,0
1257,0
1259,0
1266,0
1267,0
1268,0
1270,0
1272,0
1273,0
1276,0
1278,0
1279,0
1283,0
1284,0
1286,0
1289,0
1290,0
1292,0
1293,0
1294,0
1296,0
1298,0
1299,0
1301,0
1304,0
1306,0
1308,0
1310,0
1311,0
1312,0
1315,0
1318,0
1319,0
1320,0
1323,0
1324,0
1325,0
1326,0
1329,0
1331,0
1332,0
1335,0
1336,0
1338,0
1340,0
1342,0
1345,0
1347,0
1349,0
1350,0
1351,0
1354,0
1355,0
1356,0
1359,0
1361,0
1362,0
1363,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1374,0
1375,0
1376,0
1379,0
1380,0
1383,0
1387,0
1388,0
1389,0
1390,0
1394,0
1396,0
1397,0
1399,0
1400,0
1402,0
1403,0
1404,0
1405,0
1407,0
1409,0
1413,0
1415,0
1416,0
1418,0
1422,0
1423,0
1425,0
1428,0
1429,0
1430,0
1431,0
1432,0
1434,0
1435,0
1436,0
1438,0
1443,0
1445,0
1446,0
1453,0
1456,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1466,0
1467,0
1469,0
1470,0
1471,0
1473,0
1476,0
1477,0
1481,0
1482,0
1485,0
1486,0
1490,0
1491,0
1493,0
1494,0
1500,0
1504,0
1506,0
1509,0
1512,0
1514,0
1518,0
1520,0
1522,0
1525,0
1526,0
1529,0
1530,0
1532,0
1533,0
1537,0
1542,0
1544,0
1545,0
1546,0
1549,0
1551,0
1552,0
1555,0
1556,0
1558,0
1560,0
1561,0
1562,0
1563,0
1566,0
1568,0
1570,0
1575,0
1577,0
1579,0
1581,0
1582,0
1585,0
1586,0
1587,0
1593,0
1597,0
1599,0
1608,0
1609,0
1612,0
1615,0
1616,0
1618,0
1619,0
1624,0
1625,0
1627,0
1628,0
1635,0
1636,0
1637,0
1640,0
1642,0
1645,0
1647,0
1648,0
1650,0
1651,0
1653,0
1654,0
1655,0
1656,0
1657,0
1659,0
1661,0
1662,0
1663,0
1664,0
1671,0
1673,0
1674,0
1678,0
1680,0
1682,0
1687,0
1689,0
1690,0
1691,0
1692,0
1696,0
1701,0
1702,0
1705,0
1707,0
1711,0
1714,0
1715,0
1716,0
1717,0
1719,0
1723,0
1725,0
1726,0
1728,0
1730,0
1731,0
1736,0
1742,0
1745,0
1747,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1758,0
1759,0
1760,0
1761,0
1763,0
1765,0
1767,0
1768,0
1769,0
1774,0
1775,0
1776,0
1777,0
1779,0
1780,0
1783,0
1784,0
1785,0
1789,0
1790,0
1792,0
1793,0
1795,0
1796,0
1798,0
1802,0
1803,0
1805,0
1806,0
1809,0
1810,0
1812,0
1813,0
1814,0
1815,0
1817,0
1818,0
1819,0
1820,0
1821,0
1823,0
1826,0
1827,0
1829,0
1831,0
1833,0
1834,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1844,0
1845,0
1846,0
1847,0
1850,0
1851,0
1852,0
1860,0
1862,0
1864,0
1865,0
1866,0
1867,0
1870,0
1871,0
1872,0
1873,0
1874,0
1876,0
1878,0
1879,0
1884,0
1885,0
1888,0
1893,0
1897,0
1901,0
1902,0
1903,0
1905,0
1907,0
1908,0
1919,0
1921,0
1926,0
1928,0
1930,0
1933,0
1934,0
1935,0
1939,0
1940,0
1942,0
1943,0
1945,0
1946,0
1948,0
1949,0
1952,0
1953,0
1955,0
1959,0
1963,0
1965,0
1967,0
1968,0
1969,0
1970,0
1973,0
1977,0
1978,0
1979,0
1988,0
1991,0
1994,0
1996,0
1997,0
1998,0
2000,0
2002,0
2004,0
2007,0
2008,0
2010,0
2011,0
2012,0
2015,0
2018,0
2019,0
2023,0
2024,0
2026,0
2028,0
2029,0
2031,0
2033,0
2034,0
2037,0
2038,0
2039,0
2040,0
2042,0
2045,0
2048,0
2049,0
2050,0
2057,0
2061,0
2063,0
2067,0
2069,0
2070,0
2072,0
2073,0
2075,0
2076,0
2081,0
2082,0
2084,0
2085,0
2086,0
2088,0
2092,0
2093,0
2094,0
2096,0
2102,0
2103,0
2104,0
2108,0
2109,0
2111,0
2113,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2124,0
2125,0
2126,0
2127,0
2131,0
2133,0
2134,0
2136,0
2137,0
2139,0
2144,0
2145,0
2146,0
2149,0
2150,0
2151,0
2152,0
2153,0
2157,0
2158,0
2159,0
2161,0
2163,0
2166,0
2169,0
2171,0
2177,0
2179,0
2182,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2194,0
2195,0
2196,0
2198,0
2199,0
2200,0
2201,0
2203,0
2208,0
2209,0
2210,0
2211,0
2213,0
2214,0
2215,0
2216,0
2218,0
2222,0
2224,0
2229,0
2230,0
2234,0
2235,0
2237,0
2239,0
2241,0
2242,0
2243,0
2244,0
2245,0
2248,0
2251,0
2253,0
2254,0
2257,0
2261,0
2262,0
2266,0
2269,0
2275,0
2278,0
2279,0
2283,0
2284,0
2285,0
2286,0
